Date,Open,High,Low,Close,Volume,MA20,MA50,Returns
,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2015-03-16,27.54577357347837,27.7836971282959,27.321192683806192,27.7836971282959,143497200,28.3976318359375,26.56214427947998,0.011004079577121573
2015-03-17,27.99494353231274,28.31069228587761,27.93935389134169,28.248432159423828,204092400,28.38884859085083,26.642815132141113,0.016726896675483438
2015-03-18,28.23953698952777,28.71983229121008,28.099451708101018,28.566404342651367,261083600,28.386069202423094,26.74348865509033,0.011256277213298693
2015-03-19,28.62866382972867,28.739843106737325,28.328480121097527,28.35071563720703,183238000,28.375507259368895,26.839804306030274,-0.0075504324190461825
2015-03-20,28.517480077372603,28.55083249807218,27.830393067587416,27.994937896728516,274780400,28.33548250198364,26.92240406036377,-0.01254916260426242
2015-03-23,28.266214820687726,28.428535585374448,28.13279835554253,28.286226272583008,150838800,28.271109676361085,26.992490768432617,0.010405037401012951
2015-03-24,28.290680439577347,28.470788634512814,28.141698914517413,28.17060661315918,131369200,28.21018362045288,27.059733505249024,-0.004087489731208649
2015-03-25,28.137254753092005,28.199514883696004,27.434600830078125,27.434600830078125,206620800,28.150035667419434,27.12448196411133,-0.02612672823088047
2015-03-26,27.29673052284318,27.76812946725988,27.26115234777586,27.62582015991211,190291600,28.08132667541504,27.18875804901123,0.0069700059067139275
2015-03-27,27.699200507933366,27.728106504535486,27.330086250365834,27.40568733215332,158184800,28.02340211868286,27.250492019653322,-0.007968372576254712
2015-03-30,27.58357741557871,28.106119642444803,27.572458810054766,28.099449157714844,188398800,27.993161487579346,27.339301719665528,0.025314520199884782
2015-03-31,28.037187954473346,28.126131711225387,27.652508623977777,27.668073654174805,168362400,27.938350105285643,27.423160438537597,-0.015351742346223274
2015-04-01,27.754801820559447,27.82151008259645,27.372344737331982,27.6280574798584,162485600,27.890654850006104,27.49412586212158,-0.001446294195127984
2015-04-02,27.801492143796175,27.919341916192426,27.614711756555614,27.865976333618164,128880400,27.878536319732667,27.566172981262206,0.008611494091946836
2015-04-06,27.67696793544134,28.352938105262208,27.64583787534428,28.317359924316406,148776000,27.8868745803833,27.634623184204102,0.016198377020570476
2015-04-07,28.381841514479785,28.48857265465359,28.01272725139245,28.019397735595703,140049200,27.87431116104126,27.694544906616212,-0.01052224464134599
2015-04-08,27.983825650100826,28.106123541988197,27.788150719542283,27.92823600769043,149316800,27.886429882049562,27.752111778259277,-0.0032535220337538417
2015-04-09,27.98382066980979,28.146143143202508,27.7192151726219,28.141695022583008,129936000,27.934459400177,27.83148941040039,0.007643125574912757
2015-04-10,28.006059476821086,28.286231732662372,27.852633226625628,28.26177215576172,160752000,27.96392183303833,27.8859375,0.0042668763584550184
2015-04-13,28.54416866862595,28.58864309715633,28.152818805185365,28.20618438720703,145460400,28.000166511535646,27.92337112426758,-0.001966888992251503
2015-04-14,28.239535497342878,28.304019679612928,27.997165495170943,28.083885192871094,102098400,28.015175914764406,27.966066436767576,-0.00433589998055206
2015-04-15,28.108354539074593,28.268451323696627,28.01941074997679,28.19062614440918,115881600,28.01228561401367,28.00438507080078,0.0038007900546888074
2015-04-16,28.07943699283474,28.261770933185833,28.04163644706391,28.054977416992188,113476000,27.98671426773071,28.039902114868163,-0.0048118380458141985
2015-04-17,27.917118641010806,28.04830938065471,27.67474692190119,27.73923110961914,207828000,27.95614004135132,28.065073127746583,-0.011254555748877793
2015-04-20,27.921565785715647,28.488579125779587,27.832622017726813,28.372953414916992,188217200,27.97504081726074,28.099138412475586,0.022845705520586623
2015-04-21,28.484123899873527,28.506357713100222,28.166149495147987,28.21951675415039,129740400,27.97170534133911,28.13462661743164,-0.005407849458700764
2015-04-22,28.237318056673356,28.65535161272857,28.08833820225842,28.599761962890625,150618000,27.993163108825684,28.174206581115723,0.013474547138880855
2015-04-23,28.528608412320764,29.000007547906723,28.49303022282521,28.83323860168457,183083600,28.063094997406004,28.208227500915527,0.00816358678428486
2015-04-24,29.015566948996813,29.04669700871143,28.73539301864322,28.968870162963867,178103600,28.130247497558592,28.232242240905762,0.004704000239202255
2015-04-27,29.420263763757543,29.602599431597344,29.16232699151122,29.495864868164062,387816800,28.23475637435913,28.25977035522461,0.01819175902393133
2015-04-28,29.898336053763348,29.91612175432839,28.811002737132416,29.03113555908203,475696000,28.28134069442749,28.275246620178223,-0.015755744446186104
2015-04-29,28.942186269320725,29.26015732972162,28.5285992793757,28.60420036315918,253544400,28.32814702987671,28.27884868621826,-0.014706114235662038
2015-04-30,28.604199621886025,28.604199621886025,27.70142458160776,27.828168869018555,332781600,28.338152599334716,28.26297222137451,-0.02712998385859844
2015-05-01,28.03941606319047,28.935522548503492,27.86153022046466,28.673137664794922,234050400,28.378510665893554,28.26519588470459,0.030363794317673554
2015-05-04,28.795431689470476,29.033356962148268,28.519705871146353,28.617544174194336,203953200,28.39351987838745,28.261638107299806,-0.001938870145657079
2015-05-05,28.495238617910434,28.561946842281053,27.968250091932884,27.972698211669922,197085600,28.391184902191164,28.22961841583252,-0.02253323900189519
2015-05-06,28.141693719755914,28.183942381380493,27.430147135062807,27.797039031982422,288564000,28.384625053405763,28.197776641845703,-0.006279665206348151
2015-05-07,27.85956113478025,28.152068713553735,27.69209562693978,27.96897315979004,175763600,28.375988960266113,28.18440490722656,0.006185339654694699
2015-05-08,28.286042868912773,28.495933532714844,28.15876914169282,28.495933532714844,222201600,28.38769702911377,28.17432357788086,0.018840890937047217
2015-05-11,28.444571508121946,28.482529943603403,28.051585348625007,28.20565414428711,168143200,28.387670516967773,28.167153091430663,-0.01018669516808346
2015-05-12,28.044888392389844,28.330695903089556,27.870724547028903,28.10517692565918,192640000,28.38873510360718,28.155171394348145,-0.0035623076888745553
2015-05-13,28.167698461266472,28.399917500772432,28.105178278235485,28.136438369750977,138776800,28.38602571487427,28.14261413574219,0.0011123019853063187
2015-05-14,28.449040986155204,28.79290199279785,28.393219150803873,28.79290199279785,180814000,28.42292194366455,28.14683292388916,0.023331439979006996
2015-05-15,28.819702957980056,28.913483246079785,28.627675680320152,28.752716064453125,152832000,28.47359619140625,28.159720306396483,-0.001395688713655141
2015-05-18,28.66563079542484,29.18812237147555,28.661164094483212,29.069780349731445,203531600,28.50843753814697,28.17810401916504,0.011027281199020633
2015-05-19,29.181424892950112,29.223850035423112,28.946972489400906,29.042987823486328,178532800,28.54961109161377,28.193550453186035,-0.0009216624935854956
2015-05-20,29.02735571492461,29.246176365558323,28.87998524513075,29.040752410888672,145819600,28.571660614013673,28.22064826965332,-7.69690987456606e-05
2015-05-21,29.04298715630798,29.391314876050284,28.989396965926638,29.337724685668945,158921600,28.59688491821289,28.263780670166014,0.01022605305050317
2015-05-22,29.384623734268693,29.690526387530536,29.33996352778473,29.594511032104492,182384000,28.628166961669923,28.3022204208374,0.008752769657047743
2015-05-26,29.607907533642262,29.67712607533172,28.830865009082903,28.942508697509766,282790400,28.600499153137207,28.331444778442382,-0.022031191320830645
2015-05-27,29.10326898125325,29.531980234316904,29.038517156439617,29.48285675048828,183332800,28.62308521270752,28.36542797088623,0.01866970339806806
2015-05-28,29.442673808642926,29.46276885496646,29.272976627863645,29.4248104095459,122933200,28.664115715026856,28.388955535888673,-0.0019688167070656126
2015-05-29,29.302002322091116,29.351125818927084,29.005029693799155,29.089879989624023,203538000,28.72720127105713,28.399425048828125,-0.011382585486879426
2015-06-01,29.08988427307424,29.337733441025723,29.03852912140014,29.147937774658203,128451200,28.750941276550293,28.41536949157715,0.001995806962933111
2015-06-02,28.99609107859143,29.17472161334342,28.875517426712925,29.018421173095703,134670400,28.77098512649536,28.435839157104493,-0.004443422466583691
2015-06-03,29.17471521612708,29.237235378517205,29.005014712131036,29.05413818359375,123934000,28.825057125091554,28.45119739532471,0.0012308392067574836
2015-06-04,28.93357249005647,29.156859818974553,28.783970388532666,28.884449005126953,153800400,28.87942762374878,28.465474243164063,-0.005840447835503748
2015-06-05,28.91571151713053,28.958136658313954,28.66116407712451,28.725915908813477,142507200,28.917274761199952,28.49130054473877,-0.005488527625551631
2015-06-08,28.78173923393358,28.850961177235256,28.319536172144808,28.53612518310547,210699200,28.919284343719482,28.509506645202638,-0.006606951239099712
2015-06-09,28.290502011083298,28.59863959476817,28.04935300658485,28.451269149780273,224301600,28.93156509399414,28.530418281555175,-0.002973635445622236
2015-06-10,28.56291204846722,28.879979617175298,28.547282005039268,28.77726936340332,156349200,28.96516971588135,28.543974685668946,0.011458195833262685
2015-06-11,28.844263155320245,29.067550543389032,28.687962665091124,28.7125244140625,141563600,28.993974018096925,28.5648637008667,-0.002249864242614974
2015-06-12,28.623208477905795,28.654468573391934,28.382057709686347,28.39545440673828,147544800,28.974101638793947,28.580211639404297,-0.011042916420435978
